voidID radius(Mpc/h) ellip
3296 27.94 0.080586
2059 36.79 0.228478
2014 25.52 0.067029
4 30.1 0.20675
2310 31.73 0.092084
1265 56.35 0.094088
2820 35.71 0.189897
3133 33.95 0.093662
2260 24.91 0.098627
385 31.36 0.182783
185 23.66 0.115607
1008 29.44 0.144844
3021 43.62 0.123026
387 37.85 0.274518
1023 21.4 0.186119
2678 45.43 0.226044
2422 16.19 0.257892
174 42.31 0.160681
1656 42.34 0.185068
1763 42.91 0.138862
312 45.89 0.139892
3061 30.23 0.129135
42 33.48 0.17877
571 30.33 0.101758
1106 29.66 0.117223
1063 40.06 0.156133
1444 36.13 0.091998
2169 40.02 0.127753
3428 27.73 0.07526
1556 39.21 0.226453
3306 31.49 0.208425
2898 31.37 0.13474
3249 40.07 0.09061
2250 36.88 0.117898
2696 42.61 0.154043
1882 29.26 0.089907
3367 34.9 0.219003
82 29.0 0.094037
1043 50.8 0.100596
2872 43.53 0.087221
2855 31.21 0.152784
498 44.19 0.191286
1651 17.08 0.232908
1299 41.94 0.146685
2267 47.01 0.104062
1140 38.47 0.10684
774 43.76 0.081573
772 45.26 0.121034
2645 22.23 0.199516
243 49.0 0.22023
431 40.05 0.126795
2588 44.21 0.089496
768 25.77 0.092509
859 22.22 0.134217
2951 26.26 0.115018
2753 26.33 0.155736
2657 32.74 0.110603
2238 34.95 0.069267
3212 35.46 0.138038
1560 40.66 0.081919
2834 46.37 0.122803
3386 33.98 0.172124
2553 36.38 0.089192
3266 27.77 0.131485
218 35.16 0.164192
964 45.75 0.129715
1630 25.99 0.084219
3346 49.35 0.181316
450 40.39 0.056886
2800 33.73 0.135348
1056 28.95 0.121563
1920 49.54 0.107117
2112 35.67 0.172034
2840 42.94 0.1458
2922 33.65 0.103458
1513 28.99 0.065477
1942 35.43 0.209073
2157 31.05 0.123987
3005 40.56 0.201987
1772 23.94 0.103857
3205 22.36 0.133959
273 31.27 0.136158
1837 33.84 0.267784
2187 35.06 0.154381
646 33.57 0.200047
1559 22.02 0.153461
631 39.6 0.117861
1427 36.02 0.122903
623 35.96 0.051488
1734 32.87 0.112505
3060 17.29 0.224352
1059 29.38 0.161405
3163 37.03 0.104783
307 25.11 0.155656
1273 55.32 0.118537
427 39.62 0.198655
1087 30.35 0.065105
880 33.42 0.151435
2344 28.22 0.163781
445 49.59 0.073498
330 18.27 0.22023
1856 42.64 0.209749
214 20.55 0.216489
2595 14.72 0.143928
3383 28.46 0.075217
2410 32.69 0.1497
1316 24.14 0.190177
1123 34.16 0.098702
517 36.2 0.106163
2808 34.54 0.199008
2871 40.34 0.180915
1197 42.78 0.090937
3181 41.12 0.179354
146 39.71 0.09123
3174 41.26 0.212818
649 39.31 0.113249
2378 33.9 0.104064
2986 30.59 0.081908
541 31.38 0.126402
1964 22.75 0.206164
997 45.7 0.124537
2192 37.31 0.140736
1017 33.05 0.124645
584 29.58 0.125216
2136 23.64 0.171207
1428 34.14 0.07567
1541 33.04 0.090535
2766 27.39 0.205301
1519 43.25 0.318867
1644 33.76 0.132927
3209 45.06 0.115015
350 29.02 0.117065
2802 37.99 0.181676
2641 28.04 0.085168
1785 41.09 0.032928
2502 23.33 0.244108
1099 39.49 0.138017
3016 17.92 0.163612
2714 32.98 0.05584
2057 33.14 0.085965
370 40.96 0.123445
3153 34.5 0.179122
2849 15.91 0.198423
2339 34.12 0.167093
2309 28.76 0.109214
130 32.63 0.138127
76 43.7 0.093086
901 31.51 0.151299
1229 40.18 0.104768
3109 39.68 0.154494
2127 16.94 0.247715
1700 31.3 0.09009
2699 54.57 0.151553
433 22.26 0.144986
3079 31.78 0.109306
1015 48.94 0.193239
280 29.26 0.109342
2293 29.44 0.062097
1863 24.43 0.126649
3002 13.91 0.078457
1750 37.46 0.15944
3167 20.11 0.233708
