415495 particles, 3457 voids.
Void# FileVoid# CoreParticle CoreDens ZoneVol Zone#Part Void#Zones VoidVol Void#Part VoidDensContrast VoidProb
221 3197 395102 1.302817e-01 2.912828e+02 261 1 2.912828e+02 261 1.752440 1.48e-02
222 992 193358 1.978339e-01 1.560476e+02 208 1 1.560476e+02 208 1.752288 1.48e-02
223 2077 302456 1.264779e-01 3.274392e+02 275 3 6.831012e+02 612 1.746570 1.54e-02
224 2018 296233 1.634110e-01 1.961682e+02 176 1 1.961682e+02 176 1.744742 1.56e-02
225 2333 324385 1.159259e-01 4.115645e+02 380 2 6.486060e+02 612 1.742811 1.57e-02
226 3137 390545 1.651058e-01 1.914699e+02 214 1 1.914699e+02 214 1.742787 1.57e-02
227 2429 333048 1.568922e-01 2.610314e+02 252 1 2.610314e+02 252 1.740985 1.59e-02
228 1249 221007 2.188482e-01 6.909001e+01 67 1 6.909001e+01 67 1.739254 1.61e-02
229 1016 196428 1.878584e-01 2.764442e+02 289 1 2.764442e+02 289 1.738703 1.62e-02
230 2382 328495 1.664611e-01 3.020709e+02 302 1 3.020709e+02 302 1.736937 1.64e-02
231 377 116314 1.826328e-01 1.863560e+02 206 1 1.863560e+02 206 1.735245 1.65e-02
232 2128 306362 1.993033e-01 2.269525e+02 234 1 2.269525e+02 234 1.733935 1.67e-02
233 3136 390348 1.359969e-01 1.512200e+02 160 1 1.512200e+02 160 1.733547 1.67e-02
234 3350 406866 1.303169e-01 2.098296e+02 180 1 2.098296e+02 180 1.733085 1.68e-02
235 2936 376243 1.217955e-01 5.121049e+02 400 6 2.055836e+03 1885 1.731730 1.69e-02
236 2441 333513 1.465230e-01 1.603517e+02 148 1 1.603517e+02 148 1.729572 1.71e-02
237 3393 410561 1.477018e-01 2.912257e+02 267 1 2.912257e+02 267 1.728554 1.73e-02
238 3344 406061 1.435746e-01 2.034217e+02 218 1 2.034217e+02 218 1.727953 1.73e-02
239 1454 241539 1.764933e-01 1.686792e+02 149 1 1.686792e+02 149 1.727498 1.74e-02
240 2425 332679 2.834488e-01 5.228712e+01 72 1 5.228712e+01 72 1.727470 1.74e-02
241 2822 365722 1.923176e-01 2.820257e+02 315 1 2.820257e+02 315 1.726711 1.75e-02
242 3000 380361 1.277805e-01 4.063292e+02 412 1 4.063292e+02 412 1.725930 1.75e-02
243 757 167531 1.438203e-01 4.627639e+02 535 1 4.627639e+02 535 1.724893 1.77e-02
244 612 150771 1.949769e-01 1.093503e+02 112 1 1.093503e+02 112 1.724480 1.77e-02
245 689 159329 1.396356e-01 4.257931e+02 413 1 4.257931e+02 413 1.724123 1.77e-02
246 294 101885 2.871914e-01 5.783007e+01 99 1 5.783007e+01 99 1.723592 1.78e-02
247 2998 380215 1.406379e-01 4.248088e+02 428 1 4.248088e+02 428 1.723321 1.78e-02
248 2551 342595 1.703765e-01 1.703147e+02 182 1 1.703147e+02 182 1.720706 1.81e-02
249 1467 243049 1.561306e-01 5.164681e+02 473 1 5.164681e+02 473 1.719787 1.82e-02
250 1434 238601 2.210888e-01 1.576875e+02 178 1 1.576875e+02 178 1.719165 1.83e-02
251 1937 288484 2.235831e-01 1.394427e+02 193 1 1.394427e+02 193 1.719141 1.83e-02
252 3214 397236 1.170600e-01 2.329826e+02 196 2 4.943802e+02 385 1.718340 1.84e-02
